reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
afc97095-955f-46e1-8cb2-07158b40f5ef,김영희,https://play-lh.googleusercontent.com/a/ACg8ocJ6SspN34svLgS1L_WBui2wMOQGwMoRnHrQ0osUP7rgECQWMA=mo,제발 친추한 사람들 업데이트 사진 안보고싶습니다 너무 공해입니다 스트레스입니다 본인이 올리는건 알겠는데 다른사람이 보고싶지않은 사진을 강제적으로 봐야합니까 제발 사진 업데이트 본인만 보게해주세요 다른사람은 절대로 보고싶지 않습니디,1,0,26.3.0,2026-04-13 09:58:35,,,26.3.0
ec9a8e6d-3fec-4e81-b5f3-25cc108a24f9,이지효,https://play-lh.googleusercontent.com/a-/ALV-UjUpP-MktOAKR9CU-Yx88fnu3z03_XQDhwk1rPyoSb9ajThbbkgn,친구메뉴에서 업뎃 친구 사진 누르면 파노라마 1초컷 동영상으로 나와서 볼수가 없네요 저만 그런가요?,1,5,26.3.0,2026-04-13 09:32:57,,,26.3.0
700d3d99-86df-433c-badd-573cc3f381a7,이준서,https://play-lh.googleusercontent.com/a-/ALV-UjWXnjmhuyC3NyQoJywDb43ENWEOwvj-4Q325hyPG9C-cA4IdKOT,왜 자꾸 되도않는 인스타그램 따라 갈려는건지 그냥 하던데로 기본에만 충실해도될텐데,1,0,26.3.0,2026-04-13 09:31:06,,,26.3.0
956d9869-146a-4819-aa9f-4789eceeefff,허휘범,https://play-lh.googleusercontent.com/a-/ALV-UjXHfef-xHNY0Cgkg9Dc6SZeZf5Dc_Aa-p11Ep40lgSAxus2jOlegg,지 혼자 소식 들어가지는데 그냥 저 탭을 없애면 안됨?,1,0,26.3.0,2026-04-13 09:29:55,,,26.3.0
378f8c2d-5f06-4eaf-aad2-3a67d9e38e1e,CHAESIK LEE,https://play-lh.googleusercontent.com/a-/ALV-UjXcwYszhy_bbZGyW9bk1nvYAvyXunZeF55ABYAnkASaKwCABF8,내가 왜 목록에 있는 사람들 생일을 알아야하는지 모르겠네요. 이거 비활성화 시키지도 못하게 해놨는지 아무리 찾아도 없어요. 이유는 하나 카톡선물하게 더 유도하는거라고 생각됨. 아주 지독하네요.,1,0,26.3.0,2026-04-13 09:21:49,,,26.3.0
66bda4c3-299e-4b21-99ef-1dbe76ec8a63,의미,https://play-lh.googleusercontent.com/a-/ALV-UjV5E1JpfuY1kvhuh7yrtxC_YX55JTHD85YTOYq240-EdpuEecCV,이것저것 배껴서 보고싶지도 않은게 너무 많이 생김,1,0,26.3.0,2026-04-13 09:02:06,,,26.3.0
6bfb949a-e3cb-4b6d-9fca-0270587e8148,이승민,https://play-lh.googleusercontent.com/a/ACg8ocJ1xRJQWTVT8bFji2AKF1ThEXqK2Ch7eAooWLFRupgUCfjq6g=mo,0점도 가능하게 해주세요,1,7,26.3.0,2026-04-13 08:52:05,,,26.3.0
1a5d3f44-a303-49fc-bd64-0c10bba398b7,유민석,https://play-lh.googleusercontent.com/a/ACg8ocJMJq3kVNUT6UfGtwiiojxRgwaHhjpwdLICoFNmZHOuTCvfzQ=mo,신규 업데이트 그만 업데이트된 프로필 보는 것도 인스타 스토리 따라했네 새로운 아이디어없으면 그냥 멈춰라 더 불편하게 만들지말고,1,0,26.3.0,2026-04-13 08:48:27,,,26.3.0
6c621637-8e1e-46a5-bedc-ba96946f2c22,다은,https://play-lh.googleusercontent.com/a/ACg8ocJXQzLfCXY43Kg1IFoNpCavwNy0IgfuGvNsSTgCk_sIJIz-eQ=mo,업데이트 떠서 했는데 완전 엉망진창이네요 카카오톡은 메신저인데 인스타 짜가리 처럼 따라한게 많이 티 나는데 업데이트는 왜 시키는지 이해 할 수 없네요 분잡하게 해놓을꺼면 롤백하세요 카카오톡 탈퇴 하고싶어지니까 숏폼도 안보게 되고 관심 1도 없어요 사용자 생각 안하고 마음대로 할꺼면서 억지로 업데이트는 왜 띄워요 용량만 차지하고 변한거 하나도 없고 돈낭비 그만하세요 사용자들이 안떠나는거 알고 노리는거 같은데 이것도 조만간이 아닌 곧...돈 벌생각 하지말고 카톡 롤백하세요 망한 카카오스토리나 펑이나 살릴 생각이나 하지 따라할거 따라 해야지 따라 한다고 달라진거 없음 별 일점도 아깝,1,0,26.3.0,2026-04-13 08:43:36,,,26.3.0
a24959ba-a65a-4231-a617-f9e5275e5621,김태현,https://play-lh.googleusercontent.com/a-/ALV-UjUhmJ7z8yoOXZiLV7K1Ta55qK4eQbF74EN4qUc-4fOHHGLW3HNmPg,1나두기도아깝다ㅡㅡ자동업데이트왜자꾸 체크하냐ㅡㅡ나는 안하는거로 체큰새둿는데...짜증나네,1,0,26.3.0,2026-04-13 08:35:18,,,26.3.0
