기준일,서울,인천,경기,강원,충북,충남,대전,세종,경북,대구,전북,전남,광주,경남,부산,울산,제주,합계
2023-05-31,63807,30905,90624,15728,17511,20225,15564,3562,23023,26691,16256,19966,10303,27593,27147,6207,35619,450731
2023-06-30,65614,32065,93995,16143,17903,20677,15904,3674,23520,27263,16668,20874,10609,28799,28466,6492,36262,464928
2023-07-31,66528,33248,97738,16459,18100,21437,16138,3778,24347,27911,17302,21368,10853,30888,29037,6813,36903,478848
2023-08-31,67351,34094,99925,16723,18739,21656,16263,3882,24645,28336,17623,21708,11054,31767,30148,6960,37342,488216
2023-09-30,68892,35554,103704,17014,19095,22065,16559,4073,25051,28988,18187,22317,11318,32763,31096,7120,37689,501485
2023-10-31,70194,36901,107342,17363,19416,23156,16841,4186,25664,29586,18658,22992,11757,34005,32418,7331,38098,515908
2023-11-30,71591,38551,111466,17927,19713,23558,17418,4235,26234,30272,19390,23746,12235,35124,33770,7688,38894,531812
2023-12-31,72937,40397,114117,18236,19972,24130,17889,4393,26776,30396,19795,24200,12538,36225,34643,7838,39418,543900
2024-01-31,72877,40845,114735,18247,20003,24194,17981,4430,26934,30396,19827,24276,12529,36410,34789,7875,39439,545787
2024-05-31,76551,45136,127098,19003,21710,26851,18763,4700,29260,31586,21444,27061,13216,40854,38422,8423,41519,591597
2024-06-30,78215,46697,131038,19268,22231,27330,19618,4747,29838,32159,21918,27622,13485,41818,39519,8671,42436,606610
2024-07-31,79548,48073,134741,19611,22759,27979,19933,4905,30810,32631,22494,28386,13820,43013,40368,8883,43117,621071
2024-08-31,80474,49758,138713,19851,23361,28837,20266,5030,31424,33130,23104,29076,14115,44001,41175,9042,44490,635847
2024-09-30,81088,50994,141404,20142,23844,29502,20435,5102,31941,33447,23572,30012,14309,44764,41929,9213,45748,647446
2024-10-31,81599,52472,145219,20458,24707,30280,20587,5247,32462,33766,24071,30580,14643,45740,42611,9393,47306,661141
2024-11-30,82824,54387,149479,20730,25255,30504,21098,5343,33410,35012,24701,31123,15093,46295,43531,9684,48523,676992
2024-12-31,83868,54398,151850,21004,25375,30654,21314,5424,33905,35212,24872,31417,15240,46628,44259,9817,49007,684244
2025-01-31,83562,54820,152165,21077,25237,30662,21364,5523,33990,35093,24954,31566,15271,46873,44591,9851,49442,686041
2025-02-28,84172,55919,155103,21287,25932,31657,21506,5674,35237,35477,25533,32322,15489,48510,45284,10015,49690,698807
