comment
인도여행은 유튜브에서만 하는걸로
"다른사람들처럼 여행하면서 불평, 불만에 화가 가득한데 이분은 최고의 문화상대주의자임.아 이나라는 이런 문화이고 이런 일이 있을 수 있지라는 마인드..볼수록 호감형임"
3등칸 ㅅㅂ 무슨 외계인이 침략해서 급하게 다른 행성으로 피난가는거 같음 ㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋ 나 자고 있는데 내 다리위에 앉던 놈이 생각나네 ㅋㅋㅋ 발로 뻥 찼는데 아무 감정이 안상한거 같아서 너무 신기했음 . 포기하면 속 편한 나라
빠니보틀 클래식. 그 시절 우리가 좋아했던 빠니보틀의 모습을 볼 수 있는 영상
그저께 부터 본 사람으로서 아직 볼 영상이 많이 남았다는게 너무 행복하다
지금 인도 출장와있는데 인도에서 유투브로 인도 여행할지는 몰랐어요. 버스만 타도 각종 암내 쩐내에 땀내에 악취가 진동해서 코를 없애버리고 싶습니다. 건물 어디를 가도 파리떼에 쓰레기에 온갖 오물 천지라 여행은 일찌감치 포기했습니다. 인도 온지 2달 됐는데 도착 이틀만에 설사만 일주일을 하고 살이 3키로 빠졌음 2주후 한국으로 돌아가는데 달력보며 날짜만 새고 있어요.
2026년에도 보는 근본영상 ㅋ
부처님이 해탈한데에는 다 이유가있습니다ㅇㅇ 나같에도해탈할듯
근데 진짜 좋은 유튜브인거같음. 각 나라 지형같은거나 종교같은것도 중간중간에 설명해주고 이런 문화도 알려주고 인도 사람이 많다는것도 체감시켜주고.. 솔직히 책으로 이런거 읽으라 해봤자 읽어도 기억도안나는데 빠니님이 혼자서 드립치고 여행하는거 보는게 그렇게 재밋음.. 진짜 구독자 유튜버 서로 윈윈하는곳인거같다
인도다녀온 친구말로는 진짜 큰 깨달음을 얻고왔다고.. 대한민국이 헬조선이 아니라는 깨달음.
"우리가 좋아했던 그때 그 시절의 빠니보틀....
이제 그때 봤던 사람들은 다 여행 유튜브를 하고, 빠니보틀도 너무 크게 성장했네요.
가끔은 이때처럼 날 것 그대로 여행하던 시절이 그리워지곤 합니다.🥹"
와 저시스템 완전 코로나걸리기 딱좋은 시스템이네 ㅋㅋㅋㅋ미친ㅋㅋㅋㅋ
와이프가 승무원시절 인도 비행만 걸리면 아주 표정이ㅜㅜ 호텔 밖에 나가지도 않고 승무원 팀끼리 생수를 엄청 한국에서 사서 가지고 가더군요 그걸로 먹고 씻고 다 한다고 호텔에도 씻기 거북할 정도로 물이 탁하게 나와서 더럽다고.....
"1등칸 가격보고 생각보다 싸서 놀라고
1등칸 상태보고 생각보다 구려서 놀랏다"
2025년에 누가 보고 있나 손들어🙋‍♂️
첫번째 게 꼴등칸인 줄 알았더니... 쉬이벌...
인도 여행기들은 영상에서부터 냄새가 나는것 같다
"근데 진짜 존경스럽다해야할지...
유낳괴라 해야할지... 진짜 리뷰한다고 꼴등석 그것도 인도에서 꼴등석에 탈생각을하다니... 이런면에서는 되게 존경스럽네요...어떠케 27시간을 3등급에서 버티셨는지...와...근데 꼴지등급에서 16시간버틴게 더 신기하네요...


거기다 달리는 기차에서 문을열고있다니..."
2026년에 보고있는 사람
좋은 결정!
빠니보틀 Pani Bottle ㅋㅋㄹㅃㅃ형아 제발 내 댓글 본다면 답 한번만 해줭 형아 사랑해
1등석 이후부터 숨이턱 막힘 계속 시끄럽고 사람 만석에 짐 훔칠까봐 지켜봐야하고 안전이나 화장실 다 걱정된다
 @박하진-k1t  저도 숨이턱 신경완젼곤두섬ㅋㅋㅋ
레알 자아찾으러갔다가 뒤지겠네...
북인도 1달여행가서 인천에 멀쩡허게 돌아온걸 존나 감사함 ㄹㅇ
가면 살해당할것 같아. 유투므로만 보는걸로 저도 만족 ㅋㅋㅋㅋㅋㅋ
"이집트도 거의 마찬가지.....제 경험으로는, 어마어마한 쓰레기 천국"
빙고
우리나라 무궁화호하고도 비교가 안되네요 비록 전광판은 안나오지만..
ㄹㅇ 현명합니다 이게..
저도 보이루님 처럼 인도 여행은 유투브에서만 하는 걸로 ㅎ
@병신들아아아 의식수준의 차이라고 보면 되겠죠? 우리와 환경이 극과 극이기 때문에... 콜카타 도착 1시간 뒤 후회했던 1인
동의 !
정답
헐~ ㅎㅎ
그거슨 진리
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ공감
